Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BB(%),BCbb,BCff
25.03.2022 08:11,8734,8831,8506,8226,7945,7706,7787,13.2,1048.74,6896.26
25.03.2022 08:12,8680,8822,8452,8165,7897,7731,7875,11.8,931.8460000000001,6965.154
25.03.2022 08:13,11570,11948,11561,11244,10930,10649,10849,10.0,1093.0,9837.0
25.03.2022 08:14,11201,11477,11118,10780,10443,10243,10367,10.5,1096.515,9346.485
25.03.2022 08:15,9962,10207,9801,9500,9208,8942,9125,11.7,1077.336,8130.664
25.03.2022 08:16,9054,9142,8781,8504,8239,8019,8092,12.8,1054.592,7184.408
25.03.2022 08:17,8710,8856,8480,8231,7934,7779,7849,12.6,999.684,6934.316000000001
25.03.2022 08:18,8722,8816,8471,8159,7926,7713,7870,11.8,935.268,6990.732
25.03.2022 08:19,8702,8815,8486,8239,7953,7703,7861,11.9,946.407,7006.592999999999
25.03.2022 08:20,8577,8743,8389,8092,7816,7590,7733,12.8,1000.448,6815.552
25.03.2022 08:21,8632,8725,8358,8106,7850,7684,7750,12.4,973.4,6876.599999999999
25.03.2022 08:22,8417,8552,8237,7954,7679,7473,7613,12.1,929.159,6749.841
25.03.2022 08:23,8538,8655,8339,8045,7790,7594,7667,12.7,989.33,6800.67
25.03.2022 08:24,8493,8620,8296,8014,7780,7461,7578,13.5,1050.3,6729.7
25.03.2022 08:25,8385,8510,8171,7879,7623,7445,7593,11.9,907.1370000000001,6715.862999999999
25.03.2022 08:26,8499,8593,8241,7978,7694,7474,7612,12.7,977.138,6716.862
25.03.2022 08:27,8683,8805,8448,8175,7882,7674,7700,14.1,1111.362,6770.638000000001
25.03.2022 08:28,8802,8951,8578,8274,7967,7743,7913,12.9,1027.743,6939.257
25.03.2022 08:29,9025,9139,8818,8469,8278,7989,8139,12.1,1001.638,7276.362
25.03.2022 08:30,9187,9319,8963,8701,8349,8142,8175,13.8,1152.162,7196.838
25.03.2022 08:31,9102,9298,8857,8578,8340,8040,8229,12.8,1067.52,7272.48
25.03.2022 08:32,8412,8586,8260,7949,7657,7448,7623,12.4,949.468,6707.531999999999
25.03.2022 08:33,9122,9237,8875,8582,8308,8120,8209,12.3,1021.884,7286.116
25.03.2022 08:34,8966,9062,8718,8408,8123,7917,8036,12.6,1023.498,7099.502000000001
25.03.2022 08:35,8878,9070,8700,8425,8105,7784,7927,14.2,1150.91,6954.09
25.03.2022 08:36,9155,9235,8855,8535,8260,8048,8193,12.5,1032.5,7227.5
25.03.2022 08:37,8938,9100,8727,8398,8142,7890,7986,13.7,1115.454,7026.546
25.03.2022 08:38,8863,8997,8614,8323,8061,7758,7889,13.8,1112.418,6948.582
25.03.2022 08:39,8896,9061,8697,8395,8070,7857,7969,13.5,1089.45,6980.55
25.03.2022 08:40,8997,9087,8720,8422,8153,7923,8009,13.2,1076.196,7076.804
25.03.2022 08:41,9053,9220,8807,8488,8190,7913,8039,14.4,1179.36,7010.639999999999
25.03.2022 08:42,9192,9273,8875,8559,8264,7975,8063,14.7,1214.808,7049.192
25.03.2022 08:43,8963,9078,8751,8452,8174,7893,8011,13.1,1070.794,7103.206000000001
25.03.2022 08:44,8278,8434,8078,7754,7500,7317,7472,12.7,952.5,6547.5
25.03.2022 08:45,7360,7499,7180,6956,6735,6473,6597,13.5,909.225,5825.775
25.03.2022 08:46,7327,7447,7174,6943,6684,6520,6639,12.0,802.0799999999999,5881.92
25.03.2022 08:47,7826,7963,7645,7396,7164,6902,7005,13.4,959.9760000000001,6204.024
25.03.2022 08:48,8246,8332,7992,7720,7475,7175,7292,14.0,1046.5,6428.5
25.03.2022 08:49,7932,8111,7784,7520,7263,7107,7148,13.2,958.716,6304.284
25.03.2022 08:50,7464,7538,7271,6993,6768,6530,6642,13.3,900.144,5867.856
25.03.2022 08:51,6764,6941,6610,6401,6197,5992,6135,12.9,799.413,5397.587
25.03.2022 08:52,6642,6754,6487,6276,6039,5878,6005,12.3,742.797,5296.203
